id_marca,nombre_marca
1,ABARTH
2,AIWAYS
3,ALFA ROMEO
4,ALPINE
5,ASTON MARTIN
6,AUDI
7,BENTLEY
8,BMW
9,BYD
10,CITROEN
11,CUPRA
12,DACIA
13,DFSK
14,DONGFENG
15,DR
16,DS
17,FERRARI
18,FIAT
19,FORD
20,HONDA
21,HYUNDAI
22,INEOS
23,INVICTA
24,ISUZU
25,JAECOO
26,JAGUAR
27,JEEP
28,JIAYUAN
29,KGM / SSANGYONG
30,KIA
31,LAMBORGHINI
32,LANCIA
33,LAND-ROVER
34,LEAPMOTOR
35,LEVC
36,LEXUS
37,LIVAN
38,LOTUS
39,LYNK & CO
40,MASERATI
41,MAXUS
42,MAZDA
43,MERCEDES-BENZ
44,MG
45,MHERO
46,MINI
47,MITSUBISHI
48,MORGAN
49,NISSAN
50,OMODA
51,OPEL
52,PEUGEOT
53,POLESTAR
54,PORSCHE
55,RENAULT
56,SEAT
57,SERES
58,SKODA
59,SMART
60,SUBARU
61,SUZUKI
62,SWM
63,TESLA
64,TOYOTA
65,VOLKSWAGEN
66,VOLVO
67,VOYAH
68,XPENG
69,YUDO
70,CADILLAC
71,CHEVROLET
72,CHRYSLER
73,DODGE
74,INFINITI
75,EVO
76,CADILLAC
77,CHEVROLET
78,CHRYSLER
79,DODGE
80,INFINITI
81,EVO
